S,B,latency_s,memory_bytes,energy_j,is_oom,is_validation
32,37,0.0008341154998561251,194889728,0.04265758418969209,False,True
32,124,0.0020494644999189404,57509888,0.12793464473746502,False,True
32,87,0.0017264650000470283,44912640,0.10656691536040284,False,True
64,37,0.0010204755000131627,24866816,0.059697408560570014,False,True
64,124,0.004476237000062611,74795008,0.2521831353569273,False,True
64,87,0.003372273500076517,56672256,0.2108446560452841,False,True
128,37,0.002668690500172488,54951936,0.17384650525273634,False,True
128,124,0.015168636499993227,221945856,0.9063631940340204,False,True
128,87,0.010700636000024133,166109184,0.6698031002307104,False,True
224,37,0.009126632499942389,235374592,0.5548120966561229,False,True
224,124,0.04804996400002892,648052736,3.1227551478708797,False,True
224,87,0.03520749550000346,477581312,2.1722672648547134,False,True
256,37,0.011696706500060827,303661056,0.6915443784030963,False,True
256,124,0.06114709149994724,840343552,4.131109731154735,False,True
256,87,0.04351869999993596,621379584,2.7856450426059007,False,True
384,37,0.026659529999960796,589228032,1.7055341009119922,False,True
384,124,0.14017290150002282,1680965632,9.594814081741339,False,True
384,87,0.10058932500010087,1231040512,6.753320836660524,False,True
512,37,0.049395764499990946,1066500096,3.184112724375041,False,True
512,124,0.2528782480001155,3054600192,17.733314731431296,False,True
512,87,0.18362708000006478,2238951424,12.732674183142494,False,True
208,1,0.0007077835000472987,289010688,0.04338167861994904,False,True
208,2,0.001220271000079265,20590080,0.05902267786733392,False,True
208,4,0.0010542810000515601,25497600,0.056864754299780995,False,True
208,8,0.0018428460000450286,37265408,0.10362359915173194,False,True
208,16,0.0034540275001972987,61718528,0.26431392800859793,False,True
208,32,0.006196843000111585,140795904,0.3975581528300088,False,True
208,64,0.013212307499884446,265650176,0.8322392857254711,False,True
208,128,0.04056782099996781,514170880,2.650817042427746,False,True
208,256,0.08565508049991877,1013284864,5.502816426128731,False,True
368,1,0.0008602340000152253,148364288,0.053453306316346066,False,True
368,2,0.0013587219998498767,32147456,0.07269475205256806,False,True
368,4,0.002533742999958122,50565120,0.1459774222666373,False,True
368,8,0.005249269000046297,88383488,0.3254670137850205,False,True
368,16,0.010043948500083388,220643328,0.6212372982323079,False,True
368,32,0.02141415800008417,423809024,1.3908056630815666,False,True
368,64,0.04518559150005785,830537728,2.7022339284779604,False,True
368,128,0.1464308435000703,1644396544,9.920484643948864,False,True
368,256,0.30132020050007213,3274448896,20.421223288391136,False,True
48,1,0.0006635070000129417,429882368,0.02919404259776943,False,True
48,2,0.0006631779998542697,14043136,0.03350892534103657,False,True
48,4,0.0006751269999085707,14356480,0.033189918442505253,False,True
48,8,0.0006416949998993005,14983168,0.030727565070178,False,True
48,16,0.0005833964999055752,16236544,0.030737119692275088,False,True
48,32,0.0007891999999856125,18743296,0.04519156499917613,False,True
48,64,0.0010535354999774427,23822336,0.0662829752739808,False,True
48,128,0.002660554500039325,66551808,0.19201128707376303,False,True
48,256,0.005328819499936799,118087680,0.32984273652513807,False,True
416,1,0.0010854060000156096,25497600,0.06373059015631655,False,True
416,2,0.0018659840000054828,37265408,0.12062429649955443,False,True
416,4,0.003339000999858399,61718528,0.21116860718409475,False,True
416,8,0.006726199500008079,108953600,0.5209491959252507,False,True
416,16,0.013618111500022678,265650176,0.8323628065765114,False,True
416,32,0.027327593999984856,514170880,1.7369309436014375,False,True
416,64,0.05723887399994965,1013284864,3.8867256045429817,False,True
416,128,0.18334379649991206,2010292224,12.522234625906794,False,True
416,256,0.3806763850000152,4003373056,25.354360574529263,False,True
